@relation 'corrected-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1,5-6,8-11,13-20,23-41-weka.filters.unsupervised.attribute.RemoveUseless-M100.0'

@attribute protocol_type {tcp,udp,icmp}
@attribute service {private,domain_u,http,smtp,ftp_data,ftp,eco_i,other,auth,ecr_i,IRC,X11,finger,time,domain,telnet,pop_3,ldap,login,name,ntp_u,http_443,sunrpc,printer,systat,tim_i,netstat,remote_job,link,urp_i,sql_net,bgp,pop_2,tftp_u,uucp,imap4,pm_dump,nnsp,courier,daytime,iso_tsap,echo,discard,ssh,whois,mtp,gopher,rje,ctf,supdup,hostnames,csnet_ns,uucp_path,nntp,netbios_ns,netbios_dgm,netbios_ssn,vmnet,Z39_50,exec,shell,efs,klogin,kshell,icmp}
@attribute flag {SF,RSTR,S1,REJ,S3,RSTO,S0,S2,RSTOS0,SH,OTH}
@attribute logged_in {1,0}
@attribute is_host_login {1,0}
@attribute is_guest_login {1,0}
@attribute class {1,0}

@data
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,ftp_data,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,telnet,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,telnet,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,other,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,private,SH,0,0,0,1
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,ftp_data,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
icmp,ecr_i,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,private,SH,0,0,0,1
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
icmp,eco_i,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,private,SH,0,0,0,1
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,other,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,other,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
icmp,ecr_i,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
tcp,telnet,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
udp,private,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
udp,domain_u,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,smtp,SF,1,0,0,0
udp,domain_u,SF,0,0,0,0
udp,private,SF,0,0,0,0
udp,private,SF,0,0,0,0
tcp,http,SF,1,0,0,0
tcp,http,SF,1,0,0,0
